# OP-6 / M3-a block-RG bond-form test of H_1 in 1D
# N = 4096, lam = 1.0, J = 1.0
# beta_list = [0.3, 0.5, 0.7, 1.0, 1.5, 2.0, 3.0]
# m2_list = [-1.0, 0.0, 1.0, 2.0, 3.0]
# block_sizes = [1, 2, 4, 8, 16]

# Block size B = 1
# beta   m2      <Phi_B>   chi_B     xi2_B     K_B       K_err
# B = 8 fit: K_B = 8.0072e+01 * <Phi_B>^-0.5257 ± 0.2689  (n = 20)

# Block size B = 16
# beta   m2      <Phi_B>   chi_B     xi2_B     K_B       K_err
  3.0000e-01  -1.0000e+00  1.9741e+00  2.5998e-01  4.7938e+00  1.8439e+01  1.1652e+01
  3.0000e-01  0.0000e+00  1.4717e+00  1.6827e-01  3.1749e+00  1.8868e+01  1.3909e+01
  3.0000e-01  1.0000e+00  1.1383e+00  1.1384e-01  2.8854e-01  2.5347e+00  1.0416e+01
  3.0000e-01  2.0000e+00  9.1015e-01         nan         nan         nan         nan
  3.0000e-01  3.0000e+00  7.4960e-01  5.9455e-02  6.0110e+00  1.0110e+02  3.5250e+01
  5.0000e-01  -1.0000e+00  2.0196e+00         nan         nan         nan         nan
  5.0000e-01  0.0000e+00  1.3021e+00         nan         nan         nan         nan
  5.0000e-01  1.0000e+00  8.9869e-01         nan         nan         nan         nan
  5.0000e-01  2.0000e+00  6.6507e-01  4.4779e-02  1.1682e+00  2.6087e+01  6.5978e+01
  5.0000e-01  3.0000e+00  5.2028e-01  2.9474e-02  4.0797e+00  1.3842e+02  4.5747e+01
  7.0000e-01  -1.0000e+00  2.2265e+00  2.1117e-01  2.8151e+00  1.3331e+01  1.4174e+01
  7.0000e-01  0.0000e+00  1.2687e+00  1.2691e-01  1.0774e+00  8.4898e+00  7.9535e+00
  7.0000e-01  1.0000e+00  7.8159e-01  5.9178e-02  2.9858e+00  5.0455e+01  4.0634e+01
  7.0000e-01  2.0000e+00  5.3976e-01         nan         nan         nan         nan
  7.0000e-01  3.0000e+00  4.0505e-01  1.8453e-02  1.3917e+00  7.5417e+01  1.2097e+02
  1.0000e+00  -1.0000e+00  2.5443e+00  1.6311e-01  3.4452e+00  2.1122e+01  3.4661e+01
  1.0000e+00  0.0000e+00  1.3307e+00         nan         nan         nan         nan
  1.0000e+00  1.0000e+00  6.8955e-01         nan         nan         nan         nan
  1.0000e+00  2.0000e+00  4.3163e-01         nan         nan         nan         nan
  1.0000e+00  3.0000e+00  3.0764e-01         nan         nan         nan         nan
  1.5000e+00  -1.0000e+00  2.7562e+00  1.0226e-01  9.6346e+00  9.4216e+01  3.9484e+01
  1.5000e+00  0.0000e+00  1.5368e+00  1.0942e-01  7.3837e+00  6.7481e+01  3.7188e+01
  1.5000e+00  1.0000e+00  6.2662e-01         nan         nan         nan         nan
  1.5000e+00  2.0000e+00  3.3293e-01         nan         nan         nan         nan
  1.5000e+00  3.0000e+00  2.2234e-01  6.1747e-03  1.4400e-01  2.3321e+01  2.1658e+02
  2.0000e+00  -1.0000e+00  2.8018e+00         nan         nan         nan         nan
  2.0000e+00  0.0000e+00  1.7151e+00  8.1178e-02  4.3411e+00  5.3476e+01  4.1525e+01
  2.0000e+00  1.0000e+00  6.1218e-01         nan         nan         nan         nan
  2.0000e+00  2.0000e+00  2.7760e-01  1.0211e-02  3.2661e+00  3.1985e+02  2.0159e+02
  2.0000e+00  3.0000e+00  1.7540e-01  3.9290e-03  1.0335e+00  2.6305e+02  8.1560e+02
  3.0000e+00  -1.0000e+00  2.8459e+00         nan         nan         nan         nan
  3.0000e+00  0.0000e+00  1.8262e+00  5.0310e-02  7.5568e+00  1.5020e+02  1.0019e+02
  3.0000e+00  1.0000e+00  6.5060e-01  4.0993e-02  1.2723e+00  3.1036e+01  5.7339e+01
  3.0000e+00  2.0000e+00  2.1307e-01         nan         nan         nan         nan
  3.0000e+00  3.0000e+00  1.2423e-01  2.0869e-03  1.6412e-01  7.8639e+01  4.6324e+02
# B = 16 fit: K_B = 3.9776e+01 * <Phi_B>^-0.5244 ± 0.2774  (n = 20)

# Verdict: UNCLEAR
